cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i9-7980XE Processor ,"2,600 MHz ",December 20 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,250 MHz ",14022,Time Spy (1.0) by AAKM
Intel Core i9-9980XE Processor ,"3,000 MHz ",February 8 2020,Dell Computer Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13855,Time Spy (1.0) by ShaggySVK
Intel Core i9-9980XE Processor ,"3,000 MHz ",February 8 2020,Dell Computer Corporation NVIDIA GeForce RTX 2080 ,"2,190 MHz ",13656,Time Spy (1.0) by ShaggySVK
Intel Core i7-8700 Processor ,"3,192 MHz ",October 7 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","1,965 MHz ",13372,Time Spy (1.0) by sdlink
Intel Core i7-9800X Processor ,"3,801 MHz ",May 28 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"1,350 MHz ",13332,Time Spy (1.0) by glxracer
Intel Core i7-8700 Processor ,"3,192 MHz ",October 7 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","1,950 MHz ",13330,Time Spy (1.0) by sdlink
Intel Core i9-7980XE Processor ,"2,600 MHz ",February 10 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",13256,Time Spy (1.0) by jab383
AMD Ryzen 9 3900X ,"3,793 MHz ",March 30 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13252,Time Spy (1.0) by LaulOul
Intel Core i9-9900K Processor ,"3,600 MHz ",September 28 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,205 MHz ",13223,Time Spy (1.0) by Ceri.martin
AMD Ryzen 9 3900X ,"3,793 MHz ",March 28 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13219,Time Spy (1.0) by LaulOul
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13200,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13181,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13180,Time Spy (1.2) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",October 7 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13176,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13175,Time Spy (1.2) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",June 11 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,190 MHz ",13174,Time Spy (1.0) by yuyijun22
AMD Ryzen 9 3950X ,"3,500 MHz ",July 3 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13171,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 2 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13163,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13159,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 30 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13158,Time Spy (1.2) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",January 20 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,190 MHz ",13157,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"3,500 MHz ",July 2 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13153,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 1 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13152,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 1 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13141,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 2 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13140,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 1 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13135,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 25 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13131,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",August 29 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13129,Time Spy (1.2)
AMD Ryzen 9 3950X ,"3,500 MHz ",June 25 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13122,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 27 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13114,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 27 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13111,Time Spy (1.2) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13109,Time Spy (1.0) by VIRAL
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13107,Time Spy (1.0) by VIRAL
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13104,Time Spy (1.0) by VIRAL
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13088,Time Spy (1.0) by VIRAL
AMD Ryzen 9 3950X ,"3,500 MHz ",June 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13074,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13072,Time Spy (1.0) by VIRAL
AMD Ryzen 9 3950X ,"3,500 MHz ",June 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13067,Time Spy (1.0) by anissastacy
Intel Core i9-7900X Processor ,"3,312 MHz ",October 12 2018,EVGA Corporation NVIDIA GeForce RTX 2080 ,"1,890 MHz ",13064,Time Spy (1.0) by bytesector-2
Intel Core i9-9900K Processor ,"3,600 MHz ",January 2 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",13064,Time Spy (1.0) by Furor Teutonicus
AMD Ryzen 9 3950X ,"3,500 MHz ",June 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13064,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",January 19 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",13062,Time Spy (1.0) by Furor Teutonicus
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13051,Time Spy (1.0) by VIRAL
AMD Ryzen 9 3950X ,"3,500 MHz ",June 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13043,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13043,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 23 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13042,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 21 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13025,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 20 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13018,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",January 20 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13015,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"4,425 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",13015,Time Spy (1.0) by anissastacy
Intel Core i9-9900KS Processor ,"4,007 MHz ",December 20 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13012,Time Spy (1.0) by OrBy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 18 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13006,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,493 MHz ",June 16 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",13003,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12995,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12991,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 18 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",12991,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,450 MHz ",May 16 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12984,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,425 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12981,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,425 MHz ",May 16 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12976,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",12975,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,425 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12974,Time Spy (1.0) by anissastacy
Intel Core i9-7960X Processor ,"2,801 MHz ",February 19 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,070 MHz ",12973,Time Spy (1.0) by Traktor-2
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12973,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,425 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12973,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12969,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",January 8 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12962,Time Spy (1.0)
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12962,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12953,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12951,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",September 18 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12943,Time Spy (1.2)
AMD Ryzen 9 3950X ,"3,500 MHz ",June 14 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,160 MHz ",12942,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12937,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12936,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",February 24 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12935,Time Spy (1.0) by delly
Intel Core i9-9900K Processor ,"3,600 MHz ",April 21 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,130 MHz ",12935,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"4,375 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12934,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12934,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12933,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",April 21 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12931,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12928,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12925,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",February 9 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",12924,Time Spy (1.0) by VIRAL
AMD Ryzen 9 3950X ,"4,375 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12919,Time Spy (1.0) by anissastacy
Intel Core i7-6950X Processor ,"3,859 MHz ",October 9 2018,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,235 MHz ",12912,Time Spy (1.0) by joe_cool
Intel Core i9-9900K Processor ,"3,600 MHz ",January 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12907,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12906,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 24 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12906,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3900X ,"4,650 MHz ",July 20 2020,Colorful NVIDIA GeForce RTX 2080 ,"2,130 MHz ",12906,Time Spy (1.2) by Akane.
Intel Core i9-9900K Processor ,"3,600 MHz ",January 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12904,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12904,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",January 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12899,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3900X ,"4,650 MHz ",June 25 2020,Colorful NVIDIA GeForce RTX 2080 ,"2,130 MHz ",12893,Time Spy (1.0) by Akane.
AMD Ryzen 9 3900X ,"3,800 MHz ",February 1 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12885,Time Spy (1.0) by Hellraizzor
Intel Core i9-9900K Processor ,"3,600 MHz ",January 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12883,Time Spy (1.0) by phoenix1978
Intel Core i9-9940X Processor ,"3,312 MHz ",May 17 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12879,Time Spy (1.0) by sure.
AMD Ryzen 9 3900X ,"3,804 MHz ",January 12 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12878,Time Spy (1.0) by Hellraizzor
AMD Ryzen 9 3950X ,"4,375 MHz ",May 22 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12878,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"4,400 MHz ",May 15 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12873,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",January 22 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12865,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3900X ,"3,800 MHz ",January 28 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12861,Time Spy (1.0) by Hellraizzor
AMD Ryzen 9 3900X ,"3,800 MHz ",January 12 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12858,Time Spy (1.0) by Hellraizzor
Intel Core i9-10850K Processor ,"3,600 MHz ",September 15 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12858,Time Spy (1.2) by KURT COBAIN-2
AMD Ryzen 9 3900X ,"3,804 MHz ",January 12 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12850,Time Spy (1.0) by Hellraizzor
AMD Ryzen 9 3950X ,"4,350 MHz ",May 22 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12846,Time Spy (1.0) by anissastacy
Intel Core i9-10850K Processor ,"3,600 MHz ",September 15 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12843,Time Spy (1.2) by KURT COBAIN-2
Intel Core i9-10850K Processor ,"3,600 MHz ",September 10 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12841,Time Spy (1.2) by KURT COBAIN-2
AMD Ryzen 9 3900X ,"3,800 MHz ",November 28 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12839,Time Spy (1.0) by alexvdmeer85
AMD Ryzen 9 3900X ,"3,800 MHz ",January 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12838,Time Spy (1.0) by Hellraizzor
Intel Core i9-10850K Processor ,"3,600 MHz ",September 10 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12827,Time Spy (1.2) by KURT COBAIN-2
Intel Core i9-10850K Processor ,"3,600 MHz ",September 10 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12825,Time Spy (1.2) by KURT COBAIN-2
AMD Ryzen 9 3900X ,"3,800 MHz ",January 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12818,Time Spy (1.0) by Hellraizzor
AMD Ryzen 9 3950X ,"4,400 MHz ",May 14 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12815,Time Spy (1.0) by anissastacy
Intel Core i9-7940X Processor ,"3,100 MHz ",March 13 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12810,Time Spy (1.0) by scum
AMD Ryzen 9 3900X ,"4,250 MHz ",September 21 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12809,Time Spy (1.0) by Dracal2002
AMD Ryzen 9 3950X ,"3,500 MHz ",June 6 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12804,Time Spy (1.0) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",December 4 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12802,Time Spy (1.0) by dennis_dydx
Intel Core i9-9940X Processor ,"3,312 MHz ",May 17 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12797,Time Spy (1.0) by sure.
Intel Core i9-9900K Processor ,"3,600 MHz ",October 25 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",12797,Time Spy (1.0) by MiniOh
AMD Ryzen 9 3900X ,"3,800 MHz ",January 28 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12797,Time Spy (1.0) by Hellraizzor
Intel Core i9-10850K Processor ,"3,600 MHz ",September 10 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12793,Time Spy (1.2) by KURT COBAIN-2
Intel Core i9-9900KF Processor ,"3,600 MHz ",December 21 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12791,Time Spy (1.0) by Roxnemesis
AMD Ryzen 9 3900X ,"3,804 MHz ",January 18 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12791,Time Spy (1.0) by Hellraizzor
AMD Ryzen 9 3900X ,"3,800 MHz ",February 28 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12790,Time Spy (1.0) by Hellraizzor
Intel Core i9-10850K Processor ,"3,600 MHz ",September 15 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12789,Time Spy (1.2) by KURT COBAIN-2
AMD Ryzen 9 3900X ,"3,793 MHz ",July 5 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,175 MHz ",12786,Time Spy (1.2) by LaulOul
AMD Ryzen 9 3900X ,"3,800 MHz ",June 10 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",12782,Time Spy (1.0) by Arkhan24
Intel Core i9-10850K Processor ,"3,600 MHz ",September 15 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12780,Time Spy (1.2) by KURT COBAIN-2
AMD Ryzen 9 3950X ,"3,500 MHz ",June 6 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12777,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3900X ,"3,800 MHz ",September 30 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12774,Time Spy (1.0) by Rannaa
Intel Core i9-9900K Processor ,"3,600 MHz ",February 17 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12771,Time Spy (1.0) by delly
AMD Ryzen 9 3950X ,"3,500 MHz ",June 6 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12768,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 6 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12767,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 6 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12767,Time Spy (1.0) by anissastacy
AMD Ryzen 9 3900X ,"4,250 MHz ",September 11 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12766,Time Spy (1.0) by Dracal2002
AMD Ryzen 9 3900X ,"3,793 MHz ",December 14 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12762,Time Spy (1.0) by zimzumz
Intel Core i9-10850K Processor ,"3,600 MHz ",September 10 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12762,Time Spy (1.2) by KURT COBAIN-2
AMD Ryzen 9 3900X ,"3,793 MHz ",January 13 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12761,Time Spy (1.0) by jimj4306
AMD Ryzen 9 3900X ,"3,800 MHz ",October 1 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12760,Time Spy (1.0) by Rannaa
Intel Core i9-9900K Processor ,"3,600 MHz ",September 12 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,145 MHz ",12760,Time Spy (1.2) by phoenix1978
AMD Ryzen 9 3900X ,"3,800 MHz ",October 1 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12758,Time Spy (1.0) by Rannaa
AMD Ryzen 9 3900X ,"3,800 MHz ",January 26 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12746,Time Spy (1.0) by Hellraizzor
AMD Ryzen 9 3900X ,"3,800 MHz ",October 1 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12741,Time Spy (1.0) by Rannaa
AMD Ryzen 9 3900X ,"3,800 MHz ",October 1 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12738,Time Spy (1.0) by Rannaa
AMD Ryzen 9 3900X ,"3,800 MHz ",February 28 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12735,Time Spy (1.0) by Hellraizzor
