cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i7-4790 Processor ,"3,600 MHz ",October 13 2018,NVidia Corporation NVIDIA GeForce RTX 2080 ,2x SLI) ,12268,Time Spy (1.0)
Intel Core i9-9900K Processor ,"3,600 MHz ",December 28 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,055 MHz ",12268,Time Spy (1.0) by Rikthir
Intel Core i9-9900K Processor ,"3,600 MHz ",March 28 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",12268,Time Spy (1.0) by SvALX
Intel Core i7-8700K Processor ,"3,696 MHz ",May 3 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,220 MHz ",12268,Time Spy (1.0) by Szarko
Intel Core i9-7920X Processor ,"2,900 MHz ",May 13 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12267,Time Spy (1.0) by akee99
AMD Ryzen 9 3900X ,"3,800 MHz ",July 11 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12267,Time Spy (1.0) by zimzumz
AMD Ryzen 9 3900X ,"3,800 MHz ",July 19 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,025 MHz ",12267,Time Spy (1.0) by Trivium-2
Intel Core i9-9900K Processor ,"3,600 MHz ",August 17 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12267,Time Spy (1.0) by 沪牌快到碗里来
Intel Core i9-7900X Processor ,"3,312 MHz ",January 28 2020,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12267,Time Spy (1.0) by The Noise Boy
Intel Core i9-9900K Processor ,"3,600 MHz ",February 16 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12267,Time Spy (1.0) by ti4600
Intel Core i9-9900K Processor ,"3,600 MHz ",February 26 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12267,Time Spy (1.0) by zaniop!
AMD Ryzen 7 3700X ,"4,400 MHz ",September 28 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,160 MHz ",12266,Time Spy (1.0) by King Carstono X
Intel Core i9-9900K Processor ,"3,600 MHz ",February 3 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12266,Time Spy (1.0) by ElConrado
AMD Ryzen 9 3900X ,"4,400 MHz ",May 15 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12266,Time Spy (1.0) by Skels
Intel Core i9-9900K Processor ,"3,600 MHz ",May 31 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12266,Time Spy (1.0) by Sean-0
Intel Core i9-9900K Processor ,"3,600 MHz ",May 31 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12266,Time Spy (1.0) by NatSlayr
Intel Core i9-7900X Processor ,"3,301 MHz ",November 9 2018,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12265,Time Spy (1.0)
AMD Ryzen 9 3900X ,"3,800 MHz ",November 8 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,115 MHz ",12265,Time Spy (1.0) by pro-rick
AMD Ryzen 9 3900X ,"3,800 MHz ",February 16 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12265,Time Spy (1.0) by leitoo88
AMD Ryzen 7 3800X ,"3,893 MHz ",April 30 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,175 MHz ",12265,Time Spy (1.0) by LoNeRwolf22
Intel Core i9-9900K Processor ,"3,600 MHz ",February 25 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12264,Time Spy (1.0) by BlackTalon82
AMD Ryzen Threadripper 1950X ,"3,992 MHz ",April 23 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12264,Time Spy (1.0) by stevemarkz
Intel Core i9-9900K Processor ,"3,600 MHz ",July 29 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12264,Time Spy (1.0)
Intel Core i9-9900K Processor ,"3,600 MHz ",September 19 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12264,Time Spy (1.0) by JPD
Intel Core i9-9900KF Processor ,"3,600 MHz ",December 8 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12264,Time Spy (1.0) by PiktaSS
Intel Core i7-4770K Processor ,801 MHz ,November 30 2018,NVidia Corporation NVIDIA GeForce RTX 2080 ,2x SLI) ,12263,Time Spy (1.0) by djfpiice2
Intel Core i9-9900K Processor ,"3,600 MHz ",February 1 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12263,Time Spy (1.0) by K.Hansen
Intel Core i9-9940X Processor ,"3,312 MHz ",March 2 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12263,Time Spy (1.0) by sure.
Intel Core i9-9900K Processor ,"3,600 MHz ",March 17 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12263,Time Spy (1.0) by he changed china
Intel Core i9-9900K Processor ,"3,600 MHz ",March 31 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",12263,Time Spy (1.0) by Luts
Intel Core i9-9900K Processor ,"3,600 MHz ",May 25 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12263,Time Spy (1.0) by あなたの死私の名誉
Intel Core i9-9900K Processor ,"3,600 MHz ",June 15 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,040 MHz ",12263,Time Spy (1.0)
Intel Core i9-9900KF Processor ,"3,600 MHz ",January 2 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12263,Time Spy (1.0) by Teh Lio
Intel Core i9-9900K Processor ,"3,600 MHz ",May 18 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,055 MHz ",12262,Time Spy (1.0) by Kix
Intel Core i9-7920X Processor ,"2,900 MHz ",May 28 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12262,Time Spy (1.0) by akee99
Intel Core i9-9900K Processor ,"3,600 MHz ",July 17 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12262,Time Spy (1.0) by [EYE]LANopticx
Intel Core i9-9900K Processor ,"3,600 MHz ",August 2 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12262,Time Spy (1.0) by Gorillix
Intel Core i9-9900K Processor ,"3,600 MHz ",August 11 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12262,Time Spy (1.0) by NatSlayr
Intel Core i9-9900K Processor ,"3,600 MHz ",November 1 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12262,Time Spy (1.0) by Knobster368
AMD Ryzen 9 3900X ,"3,875 MHz ",February 20 2020,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,070 MHz ",12262,Time Spy (1.0) by thatslikeaboss
AMD Ryzen 7 3800X ,"3,893 MHz ",April 21 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,175 MHz ",12262,Time Spy (1.0) by LoNeRwolf22
AMD Ryzen 9 3950X ,"3,493 MHz ",May 17 2020,ZOTAC NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12262,Time Spy (1.0) by HolyXXXX
Intel Core i9-9900K Processor ,"3,600 MHz ",November 16 2018,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12261,Time Spy (1.0)
Intel Core i9-9900K Processor ,"3,600 MHz ",March 7 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,145 MHz ",12261,Time Spy (1.0) by tristonm74
Intel Core i9-7920X Processor ,"2,900 MHz ",May 18 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,100 MHz ",12261,Time Spy (1.0) by akee99
Intel Core i9-9900K Processor ,"3,600 MHz ",May 29 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12261,Time Spy (1.0) by calgary.flamesfan
Intel Core i9-9900K Processor ,"3,600 MHz ",June 5 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12261,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",August 11 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12261,Time Spy (1.0) by NatSlayr
