benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_tdp,cpu_test,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,gt1,gt2,os,ram,ram_clock_freq,score,storage,user
Time Spy,1.2,5308,10,14,Intel,16116,Core i9-10900K Processor,FCLGA1200,125,54.15,September 24 2020,NVIDIA GeForce RTX 3080,2007,1312,59,2025,1,Approved ,27.21.14.5638,1313,19725,"Asustek Computer, Inc.",10240,129.46,112.4,64-bit Windows 10 (10.0.18363),32768,4402,19083,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5308,10,14,Intel,15979,Core i9-10900K Processor,FCLGA1200,125,53.69,September 22 2020,NVIDIA GeForce RTX 3080,2033,1293,55,2085,1,Approved ,27.21.14.5638,1313,19736,"Asustek Computer, Inc.",10240,129.31,112.64,64-bit Windows 10 (10.0.18363),32768,4402,19063,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5308,10,14,Intel,15919,Core i9-10900K Processor,FCLGA1200,125,53.48,September 22 2020,NVIDIA GeForce RTX 3080,2053,1303,55,2085,1,Approved ,27.21.14.5638,1313,19747,"Asustek Computer, Inc.",10240,129.44,112.65,64-bit Windows 10 (10.0.18363),32768,4404,19059,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.0,5305,10,14,Intel,16559,Core i9-10900K Processor,FCLGA1200,125,55.63,September 19 2020,NVIDIA GeForce RTX 3080,1975,1268,53,2010,1,Approved ,27.21.14.5616,1268,19560,Colorful,10240,128.62,111.27,64-bit Windows 10 (10.0.19041),16384,4602,19042,240 GB INTEL SSDSC2BW240H6,Takukou
Time Spy,1.2,5308,10,14,Intel,15965,Core i9-10900K Processor,FCLGA1200,125,53.64,September 22 2020,NVIDIA GeForce RTX 3080,2039,1281,55,2085,1,Approved ,27.21.14.5638,1281,19669,"Asustek Computer, Inc.",10240,128.86,112.26,64-bit Windows 10 (10.0.18363),32768,4404,19007,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5203,10,14,Intel,16047,Core i9-10900KF Processor,FCLGA1200,125,53.91,September 29 2020,NVIDIA GeForce RTX 3080,2019,1346,51,2190,1,Approved ,27.21.14.5655,1357,19591,"Micro-Star International Co ., Ltd.",10240,129.24,111.14,64-bit Windows 10 (10.0.19041),16384,4600,18962,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.0,5202,10,14,Intel,16441,Core i9-10900K Processor,FCLGA1200,125,55.24,September 19 2020,NVIDIA GeForce RTX 3080,N/A,N/A,N/A,1510,1,Approved ,27.21.14.5616,1215,19472,"Giga-Byte Technology Co., Ltd.",10240,128.13,110.71,64-bit Windows 10 (10.0.19041),16384,4600,18948,240 GB INTEL SSDSC2BW240H6,Takukou
Time Spy,1.2,5203,10,14,Intel,15983,Core i9-10900KF Processor,FCLGA1200,125,53.7,September 29 2020,NVIDIA GeForce RTX 3080,1996,1350,51,2190,1,Approved ,27.21.14.5655,1350,19572,"Micro-Star International Co ., Ltd.",10240,129.33,110.88,64-bit Windows 10 (10.0.19041),16384,4596,18934,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5203,10,14,Intel,16065,Core i9-10900KF Processor,FCLGA1200,125,53.98,September 29 2020,NVIDIA GeForce RTX 3080,2020,1336,50,2205,1,Approved ,27.21.14.5655,1357,19496,"Micro-Star International Co ., Ltd.",10240,128.87,110.41,64-bit Windows 10 (10.0.19041),16384,4600,18890,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5203,10,14,Intel,16033,Core i9-10900KF Processor,FCLGA1200,125,53.87,September 30 2020,NVIDIA GeForce RTX 3080,1985,1330,53,2175,1,Approved ,27.21.14.5655,1350,19502,"Micro-Star International Co ., Ltd.",10240,128.82,110.51,64-bit Windows 10 (10.0.19041),16384,4596,18888,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5203,10,14,Intel,15919,Core i9-10900KF Processor,FCLGA1200,125,53.48,September 28 2020,NVIDIA GeForce RTX 3080,2005,1330,53,2145,1,Approved ,27.21.14.5655,1350,19528,"Micro-Star International Co ., Ltd.",10240,129.04,110.62,64-bit Windows 10 (10.0.19041),16384,4600,18885,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5503,10,14,Intel,17256,Core i9-10900K Processor,FCLGA1200,125,57.97,September 21 2020,NVIDIA GeForce RTX 3080,1940,1343,45,2145,1,Approved ,27.21.14.5638,1343,19189,Palit Microsystems Ltd.,10240,127.28,108.36,64-bit Windows 10 (10.0.19041),16384,4700,18871,"1,000 GB Samsung SSD 850 EVO 1TB",Nzz
Time Spy,1.2,5203,10,14,Intel,15873,Core i9-10900KF Processor,FCLGA1200,125,53.33,September 29 2020,NVIDIA GeForce RTX 3080,2011,1336,52,2190,1,Approved ,27.21.14.5655,1357,19516,"Micro-Star International Co ., Ltd.",10240,129.63,110.07,64-bit Windows 10 (10.0.19041),16384,4600,18866,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5201,10,14,Intel,16119,Core i9-10900KF Processor,FCLGA1200,125,54.16,September 29 2020,NVIDIA GeForce RTX 3080,1997,1336,52,2100,1,Approved ,27.21.14.5655,1357,19449,"Micro-Star International Co ., Ltd.",10240,128.86,109.93,64-bit Windows 10 (10.0.19041),16384,4596,18864,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5203,10,14,Intel,16631,Core i9-10900K Processor,FCLGA1200,125,55.88,September 18 2020,NVIDIA GeForce RTX 3080,1967,1312,53,2175,1,Approved ,27.21.14.5638,1313,19321,"Asustek Computer, Inc.",10240,127.6,109.51,64-bit Windows 10 (10.0.19041),32768,4596,18863,500 GB Samsung SSD 960 EVO 500GB,cstkl1
Time Spy,1.2,5203,10,14,Intel,16008,Core i9-10900KF Processor,FCLGA1200,125,53.78,September 29 2020,NVIDIA GeForce RTX 3080,1987,1318,51,2190,1,Approved ,27.21.14.5655,1338,19454,"Micro-Star International Co ., Ltd.",10240,128.58,110.19,64-bit Windows 10 (10.0.19041),16384,4600,18845,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5503,10,14,Intel,17198,Core i9-10900K Processor,FCLGA1200,125,57.78,September 21 2020,NVIDIA GeForce RTX 3080,1936,1330,45,2145,1,Approved ,27.21.14.5638,1330,19166,Palit Microsystems Ltd.,10240,127.11,108.25,64-bit Windows 10 (10.0.19041),16384,4700,18842,"1,000 GB Samsung SSD 850 EVO 1TB",Nzz
Time Spy,1.2,5203,10,14,Intel,15898,Core i9-10900KF Processor,FCLGA1200,125,53.41,September 29 2020,NVIDIA GeForce RTX 3080,1996,1346,51,2145,1,Approved ,27.21.14.5655,1357,19457,"Micro-Star International Co ., Ltd.",10240,129.03,109.9,64-bit Windows 10 (10.0.19041),16384,4598,18824,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5203,10,14,Intel,16008,Core i9-10900KF Processor,FCLGA1200,125,53.78,September 29 2020,NVIDIA GeForce RTX 3080,2017,1346,51,2190,1,Approved ,27.21.14.5655,1357,19413,"Micro-Star International Co ., Ltd.",10240,128.84,109.57,64-bit Windows 10 (10.0.19041),16384,4600,18812,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5203,10,14,Intel,16022,Core i9-10900KF Processor,FCLGA1200,125,53.83,September 30 2020,NVIDIA GeForce RTX 3080,2010,1346,52,2175,1,Approved ,27.21.14.5655,1357,19350,"Micro-Star International Co ., Ltd.",10240,129.01,108.8,64-bit Windows 10 (10.0.19041),16384,4600,18765,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,5503,10,14,Intel,17306,Core i9-10900K Processor,FCLGA1200,125,58.14,September 21 2020,NVIDIA GeForce RTX 3080,1935,1277,46,2130,1,Approved ,27.21.14.5638,1277,18997,Palit Microsystems Ltd.,10240,125.23,107.84,64-bit Windows 10 (10.0.19041),16384,4698,18722,"1,000 GB Samsung SSD 850 EVO 1TB",Nzz
Time Spy,1.2,5308,10,14,Intel,16362,Core i9-10900K Processor,FCLGA1200,125,54.97,September 29 2020,NVIDIA GeForce RTX 3080,1959,1304,44,2100,1,Approved ,27.21.14.5655,1304,19200,"Asustek Computer, Inc.",10240,127.05,108.64,64-bit Windows 10 (10.0.19041),16384,4404,18713,"1,024 GB ADATA SX8200PNP",raufzero
Time Spy,1.2,5308,10,14,Intel,16426,Core i9-10900K Processor,FCLGA1200,125,55.19,September 24 2020,NVIDIA GeForce RTX 3080,1936,1300,45,2070,1,Approved ,27.21.14.5638,1300,19183,"Asustek Computer, Inc.",10240,127.09,108.43,64-bit Windows 10 (10.0.19041),16384,4402,18711,"1,024 GB ADATA SX8200PNP",raufzero
Time Spy,1.2,4576,12,7,AMD,15029,Ryzen 9 3900X,AM4,105,50.49,September 30 2020,NVIDIA GeForce RTX 3080,2037,1328,37,2130,1,Approved ,27.21.14.5655,1328,19551,"Micro-Star International Co ., Ltd.",10240,128.76,111.08,64-bit Windows 10 (10.0.19041),32768,3732,18706,"1,000 GB Samsung SSD 970 EVO 1TB",Punkworks
Time Spy,1.2,5203,10,14,Intel,16044,Core i9-10900KF Processor,FCLGA1200,125,53.9,September 29 2020,NVIDIA GeForce RTX 3080,2023,1348,52,2160,1,Approved ,27.21.14.5655,1360,19260,"Micro-Star International Co ., Ltd.",10240,128.78,108.03,64-bit Windows 10 (10.0.19041),16384,4600,18697,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Time Spy,1.2,4902,10,14,Intel,14928,Core i9-10900KF Processor,FCLGA1200,125,50.16,September 29 2020,NVIDIA GeForce RTX 3080,1967,1308,45,2145,1,Approved ,27.21.14.5655,1338,19511,"Micro-Star International Co ., Ltd.",10240,129.12,110.39,64-bit Windows 10 (10.0.19041),32768,3998,18652,"1,000 GB Samsung SSD 970 EVO Plus 1TB",Ustinel
